city,population
Úľany nad Žitavou,1533
Perín-Chym,1532
Uhrovec,1529
Poniky,1529
Kluknava,1528
Kovarce,1527
Preseľany,1524
Lipová,1524
Radoľa,1521
Rybany,1517
Prečín,1510
Obyce,1510
Malé Leváre,1510
Nižný Hrušov,1508
Dolný Ohaj,1505
Varhaňovce,1504
Plášťovce,1504
Telgárt,1499
Budkovce,1498
Veľké Trakany,1495
Starý Tekov,1495
Haniska,1494
Šarišské Jastrabie,1492
Bystrička,1492
Slanec,1489
Tovarníky,1488
Hronovce,1486
Malčice,1482
Hybe,1480
Kamenín,1479
Štítnik,1478
Veľký Slavkov,1477
Sedliská,1477
Bystrička,1476
Vinosady,1473
Trstené pri Hornáde,1471
Kysak,1469
Kalinkovo,1467
Krakovany,1467
Kútniky,1466
Bohdanovce nad Trnavou,1465
Veľké Ludince,1464
Horné Obdokovce,1459
Nová Dedina,1456
Dolná Tižina,1456
Suchá Hora,1455
Hrochoť,1452
Vrbovce,1450
Gbeľany,1449
Dubovica,1447
Nižný Žipov,1445
Lubina,1444
Babín,1444
Okoličná na Ostrove,1440
Beckov,1436
Krajné,1434
Dlhá nad Oravou,1433
Veličná,1431
Hniezdne,1428
Klasov,1426
Lutila,1425
Veľký Grob,1425
Hontianske Nemce,1424
Sobotište,1424
Čierna Voda,1424
Sedliská,1422
Dulova Ves,1422
Bojničky,1421
Kostolné Kračany,1419
Helcmanovce,1414
Dolná Mariková,1412
Bíňa,1411
Lieskovec,1409
Rybník,1406
Trstín,1405
Bušince,1404
Gánovce,1404
Vyšné Ružbachy,1404
Urmince,1402
Hronské Kľačany,1401
Sielnica,1398
Málinec,1396
Vištuk,1392
Chrenovec-Brusno,1391
Kamenná Poruba,1390
Somotor,1389
Jablonové,1385
Horná Streda,1384
Ždaňa,1383
Medzibrod,1382
Krnča,1376
Poruba,1376
Chotín,1375
Ždiar,1374
Veľké Dvorníky,1374
Tomášovce,1374
Habovka,1374
Rimavské Janovce,1373
Dlhé Klčovo,1372
Jurské,1372
Sokolovce,1368
Svätoplukovo,1368
Brezovica,1367
Mokrance,1367
Predmier,1364
Sokoľany,1361
Bošáca,1360
Žirany,1360
Istebné,1359
Ohrady,1359
Dolné Orešany,1359
Predmier,1357
Mošovce,1357
Mirkovce,1356
Sverepec,1356
Oravský Podzámok,1353
Biel,1352
Farná,1349
Košické Oľšany,1348
Podvysoká,1347
